pcrplate_with_cooler,gradientPCRlividansoutputPlate,,,
A1,righthomologyarm2.5kbA,dna,11,ul
B1,righthomologyarm2.5kbA,dna,11,ul
C1,righthomologyarm2.5kbA,dna,11,ul
D1,righthomologyarm2.5kbA,dna,11,ul
E1,righthomologyarm2.5kbA,dna,11,ul
F1,righthomologyarm2.5kbA,dna,11,ul
G1,righthomologyarm2.5kbA,dna,11,ul
H1,righthomologyarm2.5kbA,dna,11,ul
A2,righthomologyarm2.5kbB,dna,11,ul
B2,righthomologyarm2.5kbB,dna,11,ul
C2,righthomologyarm2.5kbB,dna,11,ul
D2,righthomologyarm2.5kbB,dna,11,ul
E2,righthomologyarm2.5kbB,dna,11,ul
F2,righthomologyarm2.5kbB,dna,11,ul
G2,righthomologyarm2.5kbB,dna,11,ul
H2,righthomologyarm2.5kbB,dna,11,ul
A3,righthomologyarm3kb,dna,11,ul
B3,righthomologyarm3kb,dna,11,ul
C3,righthomologyarm3kb,dna,11,ul
D3,righthomologyarm3kb,dna,11,ul
E3,righthomologyarm3kb,dna,11,ul
F3,righthomologyarm3kb,dna,11,ul
G3,righthomologyarm3kb,dna,11,ul
H3,righthomologyarm3kb,dna,11,ul
A4,lefthomologyarm1kb,dna,11,ul
B4,lefthomologyarm1kb,dna,11,ul
C4,lefthomologyarm1kb,dna,11,ul
D4,lefthomologyarm1kb,dna,11,ul
E4,lefthomologyarm1kb,dna,11,ul
F4,lefthomologyarm1kb,dna,11,ul
G4,lefthomologyarm1kb,dna,11,ul
H4,lefthomologyarm1kb,dna,11,ul
A5,lefthomologyarm2.5kbA,dna,11,ul
B5,lefthomologyarm2.5kbA,dna,11,ul
C5,lefthomologyarm2.5kbA,dna,11,ul
D5,lefthomologyarm2.5kbA,dna,11,ul
E5,lefthomologyarm2.5kbA,dna,11,ul
F5,lefthomologyarm2.5kbA,dna,11,ul
G5,lefthomologyarm2.5kbA,dna,11,ul
H5,lefthomologyarm2.5kbA,dna,11,ul
A6,lefthomologyarm2.5kbB,dna,11,ul
B6,lefthomologyarm2.5kbB,dna,11,ul
C6,lefthomologyarm2.5kbB,dna,11,ul
D6,lefthomologyarm2.5kbB,dna,11,ul
E6,lefthomologyarm2.5kbB,dna,11,ul
F6,lefthomologyarm2.5kbB,dna,11,ul
G6,lefthomologyarm2.5kbB,dna,11,ul
H6,lefthomologyarm2.5kbB,dna,11,ul
A7,lefthomologyarm3kb,dna,11,ul
B7,lefthomologyarm3kb,dna,11,ul
C7,lefthomologyarm3kb,dna,11,ul
D7,lefthomologyarm3kb,dna,11,ul
E7,lefthomologyarm3kb,dna,11,ul
F7,lefthomologyarm3kb,dna,11,ul
G7,lefthomologyarm3kb,dna,11,ul
H7,lefthomologyarm3kb,dna,11,ul
A8,righthomologyarm1kb,dna,11,ul
B8,righthomologyarm1kb,dna,11,ul
C8,righthomologyarm1kb,dna,11,ul
D8,righthomologyarm1kb,dna,11,ul
E8,righthomologyarm1kb,dna,11,ul
F8,righthomologyarm1kb,dna,11,ul
G8,righthomologyarm1kb,dna,11,ul
H8,righthomologyarm1kb,dna,11,ul
