pcrplate_with_cooler,20160725gradientPCRoutputPlate,,,
A1,righthomologyarm3kb,dna,20,ul
B1,righthomologyarm3kb,dna,20,ul
C1,righthomologyarm3kb,dna,20,ul
D1,righthomologyarm3kb,dna,20,ul
E1,righthomologyarm3kb,dna,20,ul
F1,righthomologyarm3kb,dna,20,ul
G1,righthomologyarm3kb,dna,20,ul
H1,righthomologyarm3kb,dna,20,ul
A2,lefthomologyarm1kb,dna,20,ul
B2,lefthomologyarm1kb,dna,20,ul
C2,lefthomologyarm1kb,dna,20,ul
D2,lefthomologyarm1kb,dna,20,ul
E2,lefthomologyarm1kb,dna,20,ul
F2,lefthomologyarm1kb,dna,20,ul
G2,lefthomologyarm1kb,dna,20,ul
H2,lefthomologyarm1kb,dna,20,ul
A3,lefthomologyarm2.5kbA,dna,20,ul
B3,lefthomologyarm2.5kbA,dna,20,ul
C3,lefthomologyarm2.5kbA,dna,20,ul
D3,lefthomologyarm2.5kbA,dna,20,ul
E3,lefthomologyarm2.5kbA,dna,20,ul
F3,lefthomologyarm2.5kbA,dna,20,ul
G3,lefthomologyarm2.5kbA,dna,20,ul
H3,lefthomologyarm2.5kbA,dna,20,ul
A4,lefthomologyarm2.5kbB,dna,20,ul
B4,lefthomologyarm2.5kbB,dna,20,ul
C4,lefthomologyarm2.5kbB,dna,20,ul
D4,lefthomologyarm2.5kbB,dna,20,ul
E4,lefthomologyarm2.5kbB,dna,20,ul
F4,lefthomologyarm2.5kbB,dna,20,ul
G4,lefthomologyarm2.5kbB,dna,20,ul
H4,lefthomologyarm2.5kbB,dna,20,ul
A5,lefthomologyarm3kb,dna,20,ul
B5,lefthomologyarm3kb,dna,20,ul
C5,lefthomologyarm3kb,dna,20,ul
D5,lefthomologyarm3kb,dna,20,ul
E5,lefthomologyarm3kb,dna,20,ul
F5,lefthomologyarm3kb,dna,20,ul
G5,lefthomologyarm3kb,dna,20,ul
H5,lefthomologyarm3kb,dna,20,ul
A6,righthomologyarm1kb,dna,20,ul
B6,righthomologyarm1kb,dna,20,ul
C6,righthomologyarm1kb,dna,20,ul
D6,righthomologyarm1kb,dna,20,ul
E6,righthomologyarm1kb,dna,20,ul
F6,righthomologyarm1kb,dna,20,ul
G6,righthomologyarm1kb,dna,20,ul
H6,righthomologyarm1kb,dna,20,ul
A7,righthomologyarm2.5kbA,dna,20,ul
B7,righthomologyarm2.5kbA,dna,20,ul
C7,righthomologyarm2.5kbA,dna,20,ul
D7,righthomologyarm2.5kbA,dna,20,ul
E7,righthomologyarm2.5kbA,dna,20,ul
F7,righthomologyarm2.5kbA,dna,20,ul
G7,righthomologyarm2.5kbA,dna,20,ul
H7,righthomologyarm2.5kbA,dna,20,ul
A8,righthomologyarm2.5kbB,dna,20,ul
B8,righthomologyarm2.5kbB,dna,20,ul
C8,righthomologyarm2.5kbB,dna,20,ul
D8,righthomologyarm2.5kbB,dna,20,ul
E8,righthomologyarm2.5kbB,dna,20,ul
F8,righthomologyarm2.5kbB,dna,20,ul
G8,righthomologyarm2.5kbB,dna,20,ul
H8,righthomologyarm2.5kbB,dna,20,ul
