pcrplate_with_cooler,20160725gradientPCRoutputPlate,,,
A2,lefthomologyarm1kb,dna,20,ul
B2,lefthomologyarm1kb,dna,20,ul
C2,lefthomologyarm1kb,dna,20,ul
D2,lefthomologyarm1kb,dna,20,ul
E2,lefthomologyarm1kb,dna,20,ul
F2,lefthomologyarm1kb,dna,20,ul
G2,lefthomologyarm1kb,dna,20,ul
H2,lefthomologyarm1kb,dna,20,ul
A3,lefthomologyarm2.5kbA,dna,20,ul
B3,lefthomologyarm2.5kbA,dna,20,ul
C3,lefthomologyarm2.5kbA,dna,20,ul
D3,lefthomologyarm2.5kbA,dna,20,ul
E3,lefthomologyarm2.5kbA,dna,20,ul
F3,lefthomologyarm2.5kbA,dna,20,ul
G3,lefthomologyarm2.5kbA,dna,20,ul
H3,lefthomologyarm2.5kbA,dna,20,ul
A4,lefthomologyarm2.5kbB,dna,20,ul
B4,lefthomologyarm2.5kbB,dna,20,ul
C4,lefthomologyarm2.5kbB,dna,20,ul
D4,lefthomologyarm2.5kbB,dna,20,ul
E4,lefthomologyarm2.5kbB,dna,20,ul
F4,lefthomologyarm2.5kbB,dna,20,ul
G4,lefthomologyarm2.5kbB,dna,20,ul
H4,lefthomologyarm2.5kbB,dna,20,ul
A5,lefthomologyarm3kb,dna,20,ul
B5,lefthomologyarm3kb,dna,20,ul
C5,lefthomologyarm3kb,dna,20,ul
D5,lefthomologyarm3kb,dna,20,ul
E5,lefthomologyarm3kb,dna,20,ul
F5,lefthomologyarm3kb,dna,20,ul
G5,lefthomologyarm3kb,dna,20,ul
H5,lefthomologyarm3kb,dna,20,ul
